Country/Region,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Afghanistan,114220.00,0.00,4650.00,0.00,67483.00,0.00,42087.00,1124.00,2871.00,117.00,592610.00,14894.00,39787442.00
Albania,132509.00,0.00,2456.00,0.00,129982.00,0.00,71.00,3.00,46095.00,854.00,793662.00,276085.00,2874699.00
Algeria,138113.00,0.00,3685.00,0.00,96108.00,0.00,38320.00,24.00,3095.00,83.00,230861.00,5173.00,44627964.00
Andorra,13882.00,0.00,127.00,0.00,13697.00,0.00,58.00,3.00,179384.00,1641.00,193595.00,2501648.00,77387.00
Angola,38528.00,0.00,887.00,0.00,32696.00,0.00,4945.00,11.00,1138.00,26.00,638775.00,18862.00,33865595.00
Antigua and Barbuda,1263.00,0.00,42.00,0.00,1221.00,0.00,0.00,0.00,12793.00,425.00,16700.00,169153.00,98727.00
Argentina,4393142.00,0.00,92317.00,0.00,4010346.00,0.00,290479.00,6998.00,96333.00,2024.00,16367985.00,358918.00,45603661.00
Armenia,224797.00,69.00,4508.00,2.00,216558.00,69.00,3731.00,0.00,75722.00,1519.00,1174852.00,395746.00,2968700.00
Australia,30495.00,39.00,910.00,0.00,29307.00,0.00,278.00,1.00,1182.00,35.00,20288954.00,786677.00,25790690.00
Austria,650261.00,70.00,10700.00,1.00,637424.00,186.00,2137.00,62.00,71797.00,1181.00,54026448.00,5965171.00,9056982.00
Azerbaijan,335796.00,0.00,4967.00,0.00,330026.00,0.00,803.00,0.00,32828.00,486.00,3722499.00,363914.00,10229062.00
Bahamas,12467.00,0.00,245.00,0.00,11434.00,0.00,788.00,3.00,31408.00,617.00,105035.00,264612.00,396939.00
Bahrain,264995.00,0.00,1341.00,0.00,259234.00,0.00,4420.00,102.00,150623.00,762.00,4990387.00,2836533.00,1759326.00
Bangladesh,883138.00,0.00,14053.00,0.00,800854.00,0.00,68231.00,1165.00,5310.00,85.00,6482381.00,38979.00,166302761.00
Barbados,4074.00,0.00,47.00,0.00,3998.00,0.00,29.00,0.00,14160.00,163.00,183343.00,637223.00,287722.00
Belarus,415339.00,609.00,3113.00,10.00,408307.00,779.00,3919.00,0.00,43969.00,330.00,6754808.00,715078.00,9446259.00
Belgium,1082476.00,0.00,25160.00,0.00,1025525.00,0.00,31791.00,175.00,93002.00,2162.00,15022137.00,1290641.00,11639288.00
Belize,13137.00,0.00,329.00,0.00,12612.00,0.00,196.00,0.00,32460.00,813.00,150981.00,373060.00,404710.00
Benin,8170.00,0.00,104.00,0.00,8000.00,0.00,66.00,5.00,657.00,8.00,604310.00,48601.00,12434029.00
Bhutan,2027.00,0.00,1.00,0.00,1740.00,0.00,286.00,0.00,2599.00,1.00,798573.00,1023864.00,779960.00
Bolivia,433013.00,1653.00,16551.00,55.00,353032.00,1715.00,63430.00,200.00,36605.00,1399.00,1784089.00,150818.00,11829442.00
Bosnia and Herzegovina,204945.00,0.00,9655.00,0.00,181725.00,0.00,13565.00,0.00,62853.00,2961.00,1023310.00,313833.00,3260681.00
Botswana,67492.00,0.00,1095.00,0.00,61341.00,0.00,5056.00,1.00,28143.00,457.00,1282735.00,534877.00,2398186.00
Brazil,18386894.00,0.00,512819.00,0.00,16582053.00,0.00,1292022.00,8318.00,85902.00,2396.00,53196856.00,248530.00,214046220.00
Bulgaria,421515.00,0.00,18027.00,0.00,394106.00,0.00,9382.00,196.00,61117.00,2614.00,3139291.00,455180.00,6896815.00
Burkina Faso,13478.00,0.00,168.00,0.00,13297.00,0.00,13.00,0.00,628.00,8.00,195862.00,9125.00,21464146.00
Burundi,5348.00,0.00,8.00,0.00,773.00,0.00,4567.00,0.00,437.00,0.70,345742.00,28254.00,12237079.00
Cambodia,47649.00,839.00,540.00,17.00,42157.00,718.00,4952.00,0.00,2812.00,32.00,1333576.00,78694.00,16946254.00
Cameroon,80487.00,0.00,1320.00,0.00,78224.00,0.00,943.00,152.00,2960.00,49.00,1751774.00,64420.00,27192931.00
Canada,1412768.00,0.00,26214.00,0.00,1377730.00,0.00,8824.00,512.00,37112.00,689.00,36527044.00,959530.00,38067646.00
Central African Republic,7139.00,0.00,98.00,0.00,6859.00,0.00,182.00,2.00,1453.00,20.00,54814.00,11159.00,4912174.00
Chad,4951.00,0.00,174.00,0.00,4769.00,0.00,8.00,0.00,293.00,10.00,125409.00,7426.00,16886906.00
Chile,1542642.00,0.00,32163.00,0.00,1478841.00,0.00,31638.00,3091.00,80022.00,1668.00,16767781.00,869806.00,19277611.00
China,91732.00,14.00,4636.00,0.00,86634.00,26.00,462.00,13.00,64.00,3.00,160000000.00,111163.00,1439323776.00
Colombia,4126340.00,0.00,104014.00,0.00,3829487.00,0.00,192839.00,8155.00,80254.00,2023.00,19519944.00,379647.00,51416087.00
